avgmu,L2Calo_ring_0,L2Calo_ring_1,L2Calo_ring_2,L2Calo_ring_3,L2Calo_ring_4,L2Calo_ring_5,L2Calo_ring_6,L2Calo_ring_7,L2Calo_ring_8,L2Calo_ring_9,L2Calo_ring_10,L2Calo_ring_11,L2Calo_ring_12,L2Calo_ring_13,L2Calo_ring_14,L2Calo_ring_15,L2Calo_ring_16,L2Calo_ring_17,L2Calo_ring_18,L2Calo_ring_19,L2Calo_ring_20,L2Calo_ring_21,L2Calo_ring_22,L2Calo_ring_23,L2Calo_ring_24,L2Calo_ring_25,L2Calo_ring_26,L2Calo_ring_27,L2Calo_ring_28,L2Calo_ring_29,L2Calo_ring_30,L2Calo_ring_31,L2Calo_ring_32,L2Calo_ring_33,L2Calo_ring_34,L2Calo_ring_35,L2Calo_ring_36,L2Calo_ring_37,L2Calo_ring_38,L2Calo_ring_39,L2Calo_ring_40,L2Calo_ring_41,L2Calo_ring_42,L2Calo_ring_43,L2Calo_ring_44,L2Calo_ring_45,L2Calo_ring_46,L2Calo_ring_47,L2Calo_ring_48,L2Calo_ring_49,L2Calo_ring_50,L2Calo_ring_51,L2Calo_ring_52,L2Calo_ring_53,L2Calo_ring_54,L2Calo_ring_55,L2Calo_ring_56,L2Calo_ring_57,L2Calo_ring_58,L2Calo_ring_59,L2Calo_ring_60,L2Calo_ring_61,L2Calo_ring_62,L2Calo_ring_63,L2Calo_ring_64,L2Calo_ring_65,L2Calo_ring_66,L2Calo_ring_67,L2Calo_ring_68,L2Calo_ring_69,L2Calo_ring_70,L2Calo_ring_71,L2Calo_ring_72,L2Calo_ring_73,L2Calo_ring_74,L2Calo_ring_75,L2Calo_ring_76,L2Calo_ring_77,L2Calo_ring_78,L2Calo_ring_79,L2Calo_ring_80,L2Calo_ring_81,L2Calo_ring_82,L2Calo_ring_83,L2Calo_ring_84,L2Calo_ring_85,L2Calo_ring_86,L2Calo_ring_87,L2Calo_ring_88,L2Calo_ring_89,L2Calo_ring_90,L2Calo_ring_91,L2Calo_ring_92,L2Calo_ring_93,L2Calo_ring_94,L2Calo_ring_95,L2Calo_ring_96,L2Calo_ring_97,L2Calo_ring_98,L2Calo_ring_99,eratio,rhad,reta
41.55,41.55,41.55,41.55,41.55,41.55,41.55,41.55,41.55,41.55,41.55,41.55,41.55,41.55,41.55,41.55,41.55,41.55,41.55,41.55,41.55,41.55,41.55,41.55,41.55,41.55,41.55,41.55,41.55,41.55,41.55,41.55,41.55,41.55,41.55,41.55,41.55,41.55,41.55,41.55,41.55,41.55,41.55,41.55,41.55,41.55,41.55,41.55,41.55,41.55,41.55,41.55,41.55,41.55,41.55,41.55,41.55,41.55,41.55,41.55,41.55,41.55,41.55,41.55,41.55,41.55,41.55,41.55,41.55,41.55,41.55,41.55,41.55,41.55,41.55,41.55,41.55,41.55,41.55,41.55,41.55,41.55,41.55,41.55,41.55,41.55,41.55,41.55,41.55,41.55,41.55,41.55,41.55,41.55,41.55,41.55,41.55,41.55,41.55,41.55,41.55,41.55,41.55,41.55
41.49,41.49,41.49,41.49,41.49,41.49,41.49,41.49,41.49,41.49,41.49,41.49,41.49,41.49,41.49,41.49,41.49,41.49,41.49,41.49,41.49,41.49,41.49,41.49,41.49,41.49,41.49,41.49,41.49,41.49,41.49,41.49,41.49,41.49,41.49,41.49,41.49,41.49,41.49,41.49,41.49,41.49,41.49,41.49,41.49,41.49,41.49,41.49,41.49,41.49,41.49,41.49,41.49,41.49,41.49,41.49,41.49,41.49,41.49,41.49,41.49,41.49,41.49,41.49,41.49,41.49,41.49,41.49,41.49,41.49,41.49,41.49,41.49,41.49,41.49,41.49,41.49,41.49,41.49,41.49,41.49,41.49,41.49,41.49,41.49,41.49,41.49,41.49,41.49,41.49,41.49,41.49,41.49,41.49,41.49,41.49,41.49,41.49,41.49,41.49,41.49,41.49,41.49,41.49
41.43,41.43,41.43,41.43,41.43,41.43,41.43,41.43,41.43,41.43,41.43,41.43,41.43,41.43,41.43,41.43,41.43,41.43,41.43,41.43,41.43,41.43,41.43,41.43,41.43,41.43,41.43,41.43,41.43,41.43,41.43,41.43,41.43,41.43,41.43,41.43,41.43,41.43,41.43,41.43,41.43,41.43,41.43,41.43,41.43,41.43,41.43,41.43,41.43,41.43,41.43,41.43,41.43,41.43,41.43,41.43,41.43,41.43,41.43,41.43,41.43,41.43,41.43,41.43,41.43,41.43,41.43,41.43,41.43,41.43,41.43,41.43,41.43,41.43,41.43,41.43,41.43,41.43,41.43,41.43,41.43,41.43,41.43,41.43,41.43,41.43,41.43,41.43,41.43,41.43,41.43,41.43,41.43,41.43,41.43,41.43,41.43,41.43,41.43,41.43,41.43,41.43,41.43,41.43
41.43,41.43,41.43,41.43,41.43,41.43,41.43,41.43,41.43,41.43,41.43,41.43,41.43,41.43,41.43,41.43,41.43,41.43,41.43,41.43,41.43,41.43,41.43,41.43,41.43,41.43,41.43,41.43,41.43,41.43,41.43,41.43,41.43,41.43,41.43,41.43,41.43,41.43,41.43,41.43,41.43,41.43,41.43,41.43,41.43,41.43,41.43,41.43,41.43,41.43,41.43,41.43,41.43,41.43,41.43,41.43,41.43,41.43,41.43,41.43,41.43,41.43,41.43,41.43,41.43,41.43,41.43,41.43,41.43,41.43,41.43,41.43,41.43,41.43,41.43,41.43,41.43,41.43,41.43,41.43,41.43,41.43,41.43,41.43,41.43,41.43,41.43,41.43,41.43,41.43,41.43,41.43,41.43,41.43,41.43,41.43,41.43,41.43,41.43,41.43,41.43,41.43,41.43,41.43
41.3,41.3,41.3,41.3,41.3,41.3,41.3,41.3,41.3,41.3,41.3,41.3,41.3,41.3,41.3,41.3,41.3,41.3,41.3,41.3,41.3,41.3,41.3,41.3,41.3,41.3,41.3,41.3,41.3,41.3,41.3,41.3,41.3,41.3,41.3,41.3,41.3,41.3,41.3,41.3,41.3,41.3,41.3,41.3,41.3,41.3,41.3,41.3,41.3,41.3,41.3,41.3,41.3,41.3,41.3,41.3,41.3,41.3,41.3,41.3,41.3,41.3,41.3,41.3,41.3,41.3,41.3,41.3,41.3,41.3,41.3,41.3,41.3,41.3,41.3,41.3,41.3,41.3,41.3,41.3,41.3,41.3,41.3,41.3,41.3,41.3,41.3,41.3,41.3,41.3,41.3,41.3,41.3,41.3,41.3,41.3,41.3,41.3,41.3,41.3,41.3,41.3,41.3,41.3
41.37,41.37,41.37,41.37,41.37,41.37,41.37,41.37,41.37,41.37,41.37,41.37,41.37,41.37,41.37,41.37,41.37,41.37,41.37,41.37,41.37,41.37,41.37,41.37,41.37,41.37,41.37,41.37,41.37,41.37,41.37,41.37,41.37,41.37,41.37,41.37,41.37,41.37,41.37,41.37,41.37,41.37,41.37,41.37,41.37,41.37,41.37,41.37,41.37,41.37,41.37,41.37,41.37,41.37,41.37,41.37,41.37,41.37,41.37,41.37,41.37,41.37,41.37,41.37,41.37,41.37,41.37,41.37,41.37,41.37,41.37,41.37,41.37,41.37,41.37,41.37,41.37,41.37,41.37,41.37,41.37,41.37,41.37,41.37,41.37,41.37,41.37,41.37,41.37,41.37,41.37,41.37,41.37,41.37,41.37,41.37,41.37,41.37,41.37,41.37,41.37,41.37,41.37,41.37
56.95,56.95,56.95,56.95,56.95,56.95,56.95,56.95,56.95,56.95,56.95,56.95,56.95,56.95,56.95,56.95,56.95,56.95,56.95,56.95,56.95,56.95,56.95,56.95,56.95,56.95,56.95,56.95,56.95,56.95,56.95,56.95,56.95,56.95,56.95,56.95,56.95,56.95,56.95,56.95,56.95,56.95,56.95,56.95,56.95,56.95,56.95,56.95,56.95,56.95,56.95,56.95,56.95,56.95,56.95,56.95,56.95,56.95,56.95,56.95,56.95,56.95,56.95,56.95,56.95,56.95,56.95,56.95,56.95,56.95,56.95,56.95,56.95,56.95,56.95,56.95,56.95,56.95,56.95,56.95,56.95,56.95,56.95,56.95,56.95,56.95,56.95,56.95,56.95,56.95,56.95,56.95,56.95,56.95,56.95,56.95,56.95,56.95,56.95,56.95,56.95,56.95,56.95,56.95
40.809372,40.809372,40.809372,40.809372,40.809372,40.809372,40.809372,40.809372,40.809372,40.809372,40.809372,40.809372,40.809372,40.809372,40.809372,40.809372,40.809372,40.809372,40.809372,40.809372,40.809372,40.809372,40.809372,40.809372,40.809372,40.809372,40.809372,40.809372,40.809372,40.809372,40.809372,40.809372,40.809372,40.809372,40.809372,40.809372,40.809372,40.809372,40.809372,40.809372,40.809372,40.809372,40.809372,40.809372,40.809372,40.809372,40.809372,40.809372,40.809372,40.809372,40.809372,40.809372,40.809372,40.809372,40.809372,40.809372,40.809372,40.809372,40.809372,40.809372,40.809372,40.809372,40.809372,40.809372,40.809372,40.809372,40.809372,40.809372,40.809372,40.809372,40.809372,40.809372,40.809372,40.809372,40.809372,40.809372,40.809372,40.809372,40.809372,40.809372,40.809372,40.809372,40.809372,40.809372,40.809372,40.809372,40.809372,40.809372,40.809372,40.809372,40.809372,40.809372,40.809372,40.809372,40.809372,40.809372,40.809372,40.809372,40.809372,40.809372,40.809372,40.809372,40.809372,40.809372
40.809372,40.809372,40.809372,40.809372,40.809372,40.809372,40.809372,40.809372,40.809372,40.809372,40.809372,40.809372,40.809372,40.809372,40.809372,40.809372,40.809372,40.809372,40.809372,40.809372,40.809372,40.809372,40.809372,40.809372,40.809372,40.809372,40.809372,40.809372,40.809372,40.809372,40.809372,40.809372,40.809372,40.809372,40.809372,40.809372,40.809372,40.809372,40.809372,40.809372,40.809372,40.809372,40.809372,40.809372,40.809372,40.809372,40.809372,40.809372,40.809372,40.809372,40.809372,40.809372,40.809372,40.809372,40.809372,40.809372,40.809372,40.809372,40.809372,40.809372,40.809372,40.809372,40.809372,40.809372,40.809372,40.809372,40.809372,40.809372,40.809372,40.809372,40.809372,40.809372,40.809372,40.809372,40.809372,40.809372,40.809372,40.809372,40.809372,40.809372,40.809372,40.809372,40.809372,40.809372,40.809372,40.809372,40.809372,40.809372,40.809372,40.809372,40.809372,40.809372,40.809372,40.809372,40.809372,40.809372,40.809372,40.809372,40.809372,40.809372,40.809372,40.809372,40.809372,40.809372
40.809372,40.809372,40.809372,40.809372,40.809372,40.809372,40.809372,40.809372,40.809372,40.809372,40.809372,40.809372,40.809372,40.809372,40.809372,40.809372,40.809372,40.809372,40.809372,40.809372,40.809372,40.809372,40.809372,40.809372,40.809372,40.809372,40.809372,40.809372,40.809372,40.809372,40.809372,40.809372,40.809372,40.809372,40.809372,40.809372,40.809372,40.809372,40.809372,40.809372,40.809372,40.809372,40.809372,40.809372,40.809372,40.809372,40.809372,40.809372,40.809372,40.809372,40.809372,40.809372,40.809372,40.809372,40.809372,40.809372,40.809372,40.809372,40.809372,40.809372,40.809372,40.809372,40.809372,40.809372,40.809372,40.809372,40.809372,40.809372,40.809372,40.809372,40.809372,40.809372,40.809372,40.809372,40.809372,40.809372,40.809372,40.809372,40.809372,40.809372,40.809372,40.809372,40.809372,40.809372,40.809372,40.809372,40.809372,40.809372,40.809372,40.809372,40.809372,40.809372,40.809372,40.809372,40.809372,40.809372,40.809372,40.809372,40.809372,40.809372,40.809372,40.809372,40.809372,40.809372
40.809372,40.809372,40.809372,40.809372,40.809372,40.809372,40.809372,40.809372,40.809372,40.809372,40.809372,40.809372,40.809372,40.809372,40.809372,40.809372,40.809372,40.809372,40.809372,40.809372,40.809372,40.809372,40.809372,40.809372,40.809372,40.809372,40.809372,40.809372,40.809372,40.809372,40.809372,40.809372,40.809372,40.809372,40.809372,40.809372,40.809372,40.809372,40.809372,40.809372,40.809372,40.809372,40.809372,40.809372,40.809372,40.809372,40.809372,40.809372,40.809372,40.809372,40.809372,40.809372,40.809372,40.809372,40.809372,40.809372,40.809372,40.809372,40.809372,40.809372,40.809372,40.809372,40.809372,40.809372,40.809372,40.809372,40.809372,40.809372,40.809372,40.809372,40.809372,40.809372,40.809372,40.809372,40.809372,40.809372,40.809372,40.809372,40.809372,40.809372,40.809372,40.809372,40.809372,40.809372,40.809372,40.809372,40.809372,40.809372,40.809372,40.809372,40.809372,40.809372,40.809372,40.809372,40.809372,40.809372,40.809372,40.809372,40.809372,40.809372,40.809372,40.809372,40.809372,40.809372
48.24,48.24,48.24,48.24,48.24,48.24,48.24,48.24,48.24,48.24,48.24,48.24,48.24,48.24,48.24,48.24,48.24,48.24,48.24,48.24,48.24,48.24,48.24,48.24,48.24,48.24,48.24,48.24,48.24,48.24,48.24,48.24,48.24,48.24,48.24,48.24,48.24,48.24,48.24,48.24,48.24,48.24,48.24,48.24,48.24,48.24,48.24,48.24,48.24,48.24,48.24,48.24,48.24,48.24,48.24,48.24,48.24,48.24,48.24,48.24,48.24,48.24,48.24,48.24,48.24,48.24,48.24,48.24,48.24,48.24,48.24,48.24,48.24,48.24,48.24,48.24,48.24,48.24,48.24,48.24,48.24,48.24,48.24,48.24,48.24,48.24,48.24,48.24,48.24,48.24,48.24,48.24,48.24,48.24,48.24,48.24,48.24,48.24,48.24,48.24,48.24,48.24,48.24,48.24
48.24,48.24,48.24,48.24,48.24,48.24,48.24,48.24,48.24,48.24,48.24,48.24,48.24,48.24,48.24,48.24,48.24,48.24,48.24,48.24,48.24,48.24,48.24,48.24,48.24,48.24,48.24,48.24,48.24,48.24,48.24,48.24,48.24,48.24,48.24,48.24,48.24,48.24,48.24,48.24,48.24,48.24,48.24,48.24,48.24,48.24,48.24,48.24,48.24,48.24,48.24,48.24,48.24,48.24,48.24,48.24,48.24,48.24,48.24,48.24,48.24,48.24,48.24,48.24,48.24,48.24,48.24,48.24,48.24,48.24,48.24,48.24,48.24,48.24,48.24,48.24,48.24,48.24,48.24,48.24,48.24,48.24,48.24,48.24,48.24,48.24,48.24,48.24,48.24,48.24,48.24,48.24,48.24,48.24,48.24,48.24,48.24,48.24,48.24,48.24,48.24,48.24,48.24,48.24
48.14,48.14,48.14,48.14,48.14,48.14,48.14,48.14,48.14,48.14,48.14,48.14,48.14,48.14,48.14,48.14,48.14,48.14,48.14,48.14,48.14,48.14,48.14,48.14,48.14,48.14,48.14,48.14,48.14,48.14,48.14,48.14,48.14,48.14,48.14,48.14,48.14,48.14,48.14,48.14,48.14,48.14,48.14,48.14,48.14,48.14,48.14,48.14,48.14,48.14,48.14,48.14,48.14,48.14,48.14,48.14,48.14,48.14,48.14,48.14,48.14,48.14,48.14,48.14,48.14,48.14,48.14,48.14,48.14,48.14,48.14,48.14,48.14,48.14,48.14,48.14,48.14,48.14,48.14,48.14,48.14,48.14,48.14,48.14,48.14,48.14,48.14,48.14,48.14,48.14,48.14,48.14,48.14,48.14,48.14,48.14,48.14,48.14,48.14,48.14,48.14,48.14,48.14,48.14
55.93,55.93,55.93,55.93,55.93,55.93,55.93,55.93,55.93,55.93,55.93,55.93,55.93,55.93,55.93,55.93,55.93,55.93,55.93,55.93,55.93,55.93,55.93,55.93,55.93,55.93,55.93,55.93,55.93,55.93,55.93,55.93,55.93,55.93,55.93,55.93,55.93,55.93,55.93,55.93,55.93,55.93,55.93,55.93,55.93,55.93,55.93,55.93,55.93,55.93,55.93,55.93,55.93,55.93,55.93,55.93,55.93,55.93,55.93,55.93,55.93,55.93,55.93,55.93,55.93,55.93,55.93,55.93,55.93,55.93,55.93,55.93,55.93,55.93,55.93,55.93,55.93,55.93,55.93,55.93,55.93,55.93,55.93,55.93,55.93,55.93,55.93,55.93,55.93,55.93,55.93,55.93,55.93,55.93,55.93,55.93,55.93,55.93,55.93,55.93,55.93,55.93,55.93,55.93
56.65,56.65,56.65,56.65,56.65,56.65,56.65,56.65,56.65,56.65,56.65,56.65,56.65,56.65,56.65,56.65,56.65,56.65,56.65,56.65,56.65,56.65,56.65,56.65,56.65,56.65,56.65,56.65,56.65,56.65,56.65,56.65,56.65,56.65,56.65,56.65,56.65,56.65,56.65,56.65,56.65,56.65,56.65,56.65,56.65,56.65,56.65,56.65,56.65,56.65,56.65,56.65,56.65,56.65,56.65,56.65,56.65,56.65,56.65,56.65,56.65,56.65,56.65,56.65,56.65,56.65,56.65,56.65,56.65,56.65,56.65,56.65,56.65,56.65,56.65,56.65,56.65,56.65,56.65,56.65,56.65,56.65,56.65,56.65,56.65,56.65,56.65,56.65,56.65,56.65,56.65,56.65,56.65,56.65,56.65,56.65,56.65,56.65,56.65,56.65,56.65,56.65,56.65,56.65
56.78,56.78,56.78,56.78,56.78,56.78,56.78,56.78,56.78,56.78,56.78,56.78,56.78,56.78,56.78,56.78,56.78,56.78,56.78,56.78,56.78,56.78,56.78,56.78,56.78,56.78,56.78,56.78,56.78,56.78,56.78,56.78,56.78,56.78,56.78,56.78,56.78,56.78,56.78,56.78,56.78,56.78,56.78,56.78,56.78,56.78,56.78,56.78,56.78,56.78,56.78,56.78,56.78,56.78,56.78,56.78,56.78,56.78,56.78,56.78,56.78,56.78,56.78,56.78,56.78,56.78,56.78,56.78,56.78,56.78,56.78,56.78,56.78,56.78,56.78,56.78,56.78,56.78,56.78,56.78,56.78,56.78,56.78,56.78,56.78,56.78,56.78,56.78,56.78,56.78,56.78,56.78,56.78,56.78,56.78,56.78,56.78,56.78,56.78,56.78,56.78,56.78,56.78,56.78
57.37,57.37,57.37,57.37,57.37,57.37,57.37,57.37,57.37,57.37,57.37,57.37,57.37,57.37,57.37,57.37,57.37,57.37,57.37,57.37,57.37,57.37,57.37,57.37,57.37,57.37,57.37,57.37,57.37,57.37,57.37,57.37,57.37,57.37,57.37,57.37,57.37,57.37,57.37,57.37,57.37,57.37,57.37,57.37,57.37,57.37,57.37,57.37,57.37,57.37,57.37,57.37,57.37,57.37,57.37,57.37,57.37,57.37,57.37,57.37,57.37,57.37,57.37,57.37,57.37,57.37,57.37,57.37,57.37,57.37,57.37,57.37,57.37,57.37,57.37,57.37,57.37,57.37,57.37,57.37,57.37,57.37,57.37,57.37,57.37,57.37,57.37,57.37,57.37,57.37,57.37,57.37,57.37,57.37,57.37,57.37,57.37,57.37,57.37,57.37,57.37,57.37,57.37,57.37
43.41,43.41,43.41,43.41,43.41,43.41,43.41,43.41,43.41,43.41,43.41,43.41,43.41,43.41,43.41,43.41,43.41,43.41,43.41,43.41,43.41,43.41,43.41,43.41,43.41,43.41,43.41,43.41,43.41,43.41,43.41,43.41,43.41,43.41,43.41,43.41,43.41,43.41,43.41,43.41,43.41,43.41,43.41,43.41,43.41,43.41,43.41,43.41,43.41,43.41,43.41,43.41,43.41,43.41,43.41,43.41,43.41,43.41,43.41,43.41,43.41,43.41,43.41,43.41,43.41,43.41,43.41,43.41,43.41,43.41,43.41,43.41,43.41,43.41,43.41,43.41,43.41,43.41,43.41,43.41,43.41,43.41,43.41,43.41,43.41,43.41,43.41,43.41,43.41,43.41,43.41,43.41,43.41,43.41,43.41,43.41,43.41,43.41,43.41,43.41,43.41,43.41,43.41,43.41
43.17,43.17,43.17,43.17,43.17,43.17,43.17,43.17,43.17,43.17,43.17,43.17,43.17,43.17,43.17,43.17,43.17,43.17,43.17,43.17,43.17,43.17,43.17,43.17,43.17,43.17,43.17,43.17,43.17,43.17,43.17,43.17,43.17,43.17,43.17,43.17,43.17,43.17,43.17,43.17,43.17,43.17,43.17,43.17,43.17,43.17,43.17,43.17,43.17,43.17,43.17,43.17,43.17,43.17,43.17,43.17,43.17,43.17,43.17,43.17,43.17,43.17,43.17,43.17,43.17,43.17,43.17,43.17,43.17,43.17,43.17,43.17,43.17,43.17,43.17,43.17,43.17,43.17,43.17,43.17,43.17,43.17,43.17,43.17,43.17,43.17,43.17,43.17,43.17,43.17,43.17,43.17,43.17,43.17,43.17,43.17,43.17,43.17,43.17,43.17,43.17,43.17,43.17,43.17
43.03,43.03,43.03,43.03,43.03,43.03,43.03,43.03,43.03,43.03,43.03,43.03,43.03,43.03,43.03,43.03,43.03,43.03,43.03,43.03,43.03,43.03,43.03,43.03,43.03,43.03,43.03,43.03,43.03,43.03,43.03,43.03,43.03,43.03,43.03,43.03,43.03,43.03,43.03,43.03,43.03,43.03,43.03,43.03,43.03,43.03,43.03,43.03,43.03,43.03,43.03,43.03,43.03,43.03,43.03,43.03,43.03,43.03,43.03,43.03,43.03,43.03,43.03,43.03,43.03,43.03,43.03,43.03,43.03,43.03,43.03,43.03,43.03,43.03,43.03,43.03,43.03,43.03,43.03,43.03,43.03,43.03,43.03,43.03,43.03,43.03,43.03,43.03,43.03,43.03,43.03,43.03,43.03,43.03,43.03,43.03,43.03,43.03,43.03,43.03,43.03,43.03,43.03,43.03
43.03,43.03,43.03,43.03,43.03,43.03,43.03,43.03,43.03,43.03,43.03,43.03,43.03,43.03,43.03,43.03,43.03,43.03,43.03,43.03,43.03,43.03,43.03,43.03,43.03,43.03,43.03,43.03,43.03,43.03,43.03,43.03,43.03,43.03,43.03,43.03,43.03,43.03,43.03,43.03,43.03,43.03,43.03,43.03,43.03,43.03,43.03,43.03,43.03,43.03,43.03,43.03,43.03,43.03,43.03,43.03,43.03,43.03,43.03,43.03,43.03,43.03,43.03,43.03,43.03,43.03,43.03,43.03,43.03,43.03,43.03,43.03,43.03,43.03,43.03,43.03,43.03,43.03,43.03,43.03,43.03,43.03,43.03,43.03,43.03,43.03,43.03,43.03,43.03,43.03,43.03,43.03,43.03,43.03,43.03,43.03,43.03,43.03,43.03,43.03,43.03,43.03,43.03,43.03
42.91,42.91,42.91,42.91,42.91,42.91,42.91,42.91,42.91,42.91,42.91,42.91,42.91,42.91,42.91,42.91,42.91,42.91,42.91,42.91,42.91,42.91,42.91,42.91,42.91,42.91,42.91,42.91,42.91,42.91,42.91,42.91,42.91,42.91,42.91,42.91,42.91,42.91,42.91,42.91,42.91,42.91,42.91,42.91,42.91,42.91,42.91,42.91,42.91,42.91,42.91,42.91,42.91,42.91,42.91,42.91,42.91,42.91,42.91,42.91,42.91,42.91,42.91,42.91,42.91,42.91,42.91,42.91,42.91,42.91,42.91,42.91,42.91,42.91,42.91,42.91,42.91,42.91,42.91,42.91,42.91,42.91,42.91,42.91,42.91,42.91,42.91,42.91,42.91,42.91,42.91,42.91,42.91,42.91,42.91,42.91,42.91,42.91,42.91,42.91,42.91,42.91,42.91,42.91
42.91,42.91,42.91,42.91,42.91,42.91,42.91,42.91,42.91,42.91,42.91,42.91,42.91,42.91,42.91,42.91,42.91,42.91,42.91,42.91,42.91,42.91,42.91,42.91,42.91,42.91,42.91,42.91,42.91,42.91,42.91,42.91,42.91,42.91,42.91,42.91,42.91,42.91,42.91,42.91,42.91,42.91,42.91,42.91,42.91,42.91,42.91,42.91,42.91,42.91,42.91,42.91,42.91,42.91,42.91,42.91,42.91,42.91,42.91,42.91,42.91,42.91,42.91,42.91,42.91,42.91,42.91,42.91,42.91,42.91,42.91,42.91,42.91,42.91,42.91,42.91,42.91,42.91,42.91,42.91,42.91,42.91,42.91,42.91,42.91,42.91,42.91,42.91,42.91,42.91,42.91,42.91,42.91,42.91,42.91,42.91,42.91,42.91,42.91,42.91,42.91,42.91,42.91,42.91
42.82,42.82,42.82,42.82,42.82,42.82,42.82,42.82,42.82,42.82,42.82,42.82,42.82,42.82,42.82,42.82,42.82,42.82,42.82,42.82,42.82,42.82,42.82,42.82,42.82,42.82,42.82,42.82,42.82,42.82,42.82,42.82,42.82,42.82,42.82,42.82,42.82,42.82,42.82,42.82,42.82,42.82,42.82,42.82,42.82,42.82,42.82,42.82,42.82,42.82,42.82,42.82,42.82,42.82,42.82,42.82,42.82,42.82,42.82,42.82,42.82,42.82,42.82,42.82,42.82,42.82,42.82,42.82,42.82,42.82,42.82,42.82,42.82,42.82,42.82,42.82,42.82,42.82,42.82,42.82,42.82,42.82,42.82,42.82,42.82,42.82,42.82,42.82,42.82,42.82,42.82,42.82,42.82,42.82,42.82,42.82,42.82,42.82,42.82,42.82,42.82,42.82,42.82,42.82
42.82,42.82,42.82,42.82,42.82,42.82,42.82,42.82,42.82,42.82,42.82,42.82,42.82,42.82,42.82,42.82,42.82,42.82,42.82,42.82,42.82,42.82,42.82,42.82,42.82,42.82,42.82,42.82,42.82,42.82,42.82,42.82,42.82,42.82,42.82,42.82,42.82,42.82,42.82,42.82,42.82,42.82,42.82,42.82,42.82,42.82,42.82,42.82,42.82,42.82,42.82,42.82,42.82,42.82,42.82,42.82,42.82,42.82,42.82,42.82,42.82,42.82,42.82,42.82,42.82,42.82,42.82,42.82,42.82,42.82,42.82,42.82,42.82,42.82,42.82,42.82,42.82,42.82,42.82,42.82,42.82,42.82,42.82,42.82,42.82,42.82,42.82,42.82,42.82,42.82,42.82,42.82,42.82,42.82,42.82,42.82,42.82,42.82,42.82,42.82,42.82,42.82,42.82,42.82
42.3,42.3,42.3,42.3,42.3,42.3,42.3,42.3,42.3,42.3,42.3,42.3,42.3,42.3,42.3,42.3,42.3,42.3,42.3,42.3,42.3,42.3,42.3,42.3,42.3,42.3,42.3,42.3,42.3,42.3,42.3,42.3,42.3,42.3,42.3,42.3,42.3,42.3,42.3,42.3,42.3,42.3,42.3,42.3,42.3,42.3,42.3,42.3,42.3,42.3,42.3,42.3,42.3,42.3,42.3,42.3,42.3,42.3,42.3,42.3,42.3,42.3,42.3,42.3,42.3,42.3,42.3,42.3,42.3,42.3,42.3,42.3,42.3,42.3,42.3,42.3,42.3,42.3,42.3,42.3,42.3,42.3,42.3,42.3,42.3,42.3,42.3,42.3,42.3,42.3,42.3,42.3,42.3,42.3,42.3,42.3,42.3,42.3,42.3,42.3,42.3,42.3,42.3,42.3
42.42,42.42,42.42,42.42,42.42,42.42,42.42,42.42,42.42,42.42,42.42,42.42,42.42,42.42,42.42,42.42,42.42,42.42,42.42,42.42,42.42,42.42,42.42,42.42,42.42,42.42,42.42,42.42,42.42,42.42,42.42,42.42,42.42,42.42,42.42,42.42,42.42,42.42,42.42,42.42,42.42,42.42,42.42,42.42,42.42,42.42,42.42,42.42,42.42,42.42,42.42,42.42,42.42,42.42,42.42,42.42,42.42,42.42,42.42,42.42,42.42,42.42,42.42,42.42,42.42,42.42,42.42,42.42,42.42,42.42,42.42,42.42,42.42,42.42,42.42,42.42,42.42,42.42,42.42,42.42,42.42,42.42,42.42,42.42,42.42,42.42,42.42,42.42,42.42,42.42,42.42,42.42,42.42,42.42,42.42,42.42,42.42,42.42,42.42,42.42,42.42,42.42,42.42,42.42
42.03014,42.03014,42.03014,42.03014,42.03014,42.03014,42.03014,42.03014,42.03014,42.03014,42.03014,42.03014,42.03014,42.03014,42.03014,42.03014,42.03014,42.03014,42.03014,42.03014,42.03014,42.03014,42.03014,42.03014,42.03014,42.03014,42.03014,42.03014,42.03014,42.03014,42.03014,42.03014,42.03014,42.03014,42.03014,42.03014,42.03014,42.03014,42.03014,42.03014,42.03014,42.03014,42.03014,42.03014,42.03014,42.03014,42.03014,42.03014,42.03014,42.03014,42.03014,42.03014,42.03014,42.03014,42.03014,42.03014,42.03014,42.03014,42.03014,42.03014,42.03014,42.03014,42.03014,42.03014,42.03014,42.03014,42.03014,42.03014,42.03014,42.03014,42.03014,42.03014,42.03014,42.03014,42.03014,42.03014,42.03014,42.03014,42.03014,42.03014,42.03014,42.03014,42.03014,42.03014,42.03014,42.03014,42.03014,42.03014,42.03014,42.03014,42.03014,42.03014,42.03014,42.03014,42.03014,42.03014,42.03014,42.03014,42.03014,42.03014,42.03014,42.03014,42.03014,42.03014
